experimental_trial,left_target_size,right_target_size,direction,changing,start_location,object_size
0,0,0,clear,null,0.1,1
0,0,0,clear,null,-0.1,1
0,0,0,clear,null,0.1,1
1,1.05,0.75,ascending,agent,0.1,1.05
1,1.05,0.8,ascending,agent,0.1,1.05
1,1.05,0.85,ascending,agent,0.1,1.05
1,1.05,0.9,ascending,agent,0.1,1.05
1,1.05,0.95,ascending,agent,0.1,1.05
1,1.05,1,ascending,agent,0.1,1.05
1,1.05,1.05,ascending,agent,0.1,1.05
1,1.05,1.1,ascending,agent,0.1,1.05
1,1.05,1.15,ascending,agent,0.1,1.05
1,1.05,1.2,ascending,agent,0.1,1.05
1,1.05,1.25,ascending,agent,0.1,1.05
1,1.05,1.3,ascending,agent,0.1,1.05
1,1.05,1.35,ascending,agent,0.1,1.05
0,0,0,clear,null,0.1,1
0,0,0,clear,null,-0.1,1
0,0,0,clear,null,0.1,1
1,1.05,1,random,agent,0.1,1
1,1.05,1.25,random,agent,0.1,1.25
1,1.05,1.1,random,agent,0.1,1.1
1,1.05,1.2,random,agent,0.1,1.2
1,1.05,1.35,random,agent,0.1,1.35
1,1.05,0.9,random,agent,0.1,0.9
1,1.05,1.15,random,agent,0.1,1.15
1,1.05,0.85,random,agent,0.1,0.85
1,1.05,1.3,random,agent,0.1,1.3
1,1.05,0.8,random,agent,0.1,0.8
1,1.05,0.95,random,agent,0.1,0.95
1,1.05,0.75,random,agent,0.1,0.75
1,1.05,1.05,random,agent,0.1,1.05
0,0,0,clear,null,0.1,1
0,0,0,clear,null,-0.1,1
0,0,0,clear,null,0.1,1
1,1.05,1.35,descending,agent,0.1,1.35
1,1.05,1.3,descending,agent,0.1,1.3
1,1.05,1.25,descending,agent,0.1,1.25
1,1.05,1.2,descending,agent,0.1,1.2
1,1.05,1.15,descending,agent,0.1,1.15
1,1.05,1.1,descending,agent,0.1,1.1
1,1.05,1.05,descending,agent,0.1,1.05
1,1.05,1,descending,agent,0.1,1
1,1.05,0.95,descending,agent,0.1,0.95
1,1.05,0.9,descending,agent,0.1,0.9
1,1.05,0.85,descending,agent,0.1,0.85
1,1.05,0.8,descending,agent,0.1,0.8
1,1.05,0.75,descending,agent,0.1,0.75
0,0,0,clear,null,-0.1,1
0,0,0,clear,null,0.1,1
0,0,0,clear,null,-0.1,1
1,0.75,1.05,ascending,agent,-0.1,1.05
1,0.8,1.05,ascending,agent,-0.1,1.05
1,0.85,1.05,ascending,agent,-0.1,1.05
