block_num,experimental_trial,left_target_size,right_target_size,object_size,dalt_block
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,1,1,1.5,1,1
1,1,1,1.4,1,1
1,1,1,1.3,1,1
1,1,1,1.2,1,1
1,1,1,1.1,1,1
1,1,1,1,1,1
1,1,1,0.9,1,1
1,1,1,0.8,1,1
1,1,1,0.7,1,1
1,1,1,0.6,1,1
1,1,1,0.5,1,1
2,0,0,0,1,2
2,0,0,0,1,2
2,0,0,0,1,2
2,0,0,0,1,2
2,1,1,0.5,1,2
2,1,1,0.6,1,2
2,1,1,0.7,1,2
2,1,1,0.8,1,2
2,1,1,0.9,1,2
2,1,1,1,1,2
2,1,1,1.1,1,2
2,1,1,1.2,1,2
2,1,1,1.3,1,2
2,1,1,1.4,1,2
2,1,1,1.5,1,2
3,0,0,0,1,3
3,0,0,0,1,3
3,0,0,0,1,3
3,0,0,0,1,3
3,1,1,1.5,1,3
3,1,1,1.4,1,3
3,1,1,1.3,1,3
3,1,1,1.2,1,3
3,1,1,1.1,1,3
3,1,1,1,1,3
3,1,1,0.9,1,3
3,1,1,0.8,1,3
3,1,1,0.7,1,3
3,1,1,0.6,1,3
3,1,1,0.5,1,3
4,0,0,0,1,4
4,0,0,0,1,4
4,0,0,0,1,4
4,0,0,0,1,4
4,1,1,0.5,1,4
4,1,1,0.6,1,4
4,1,1,0.7,1,4
4,1,1,0.8,1,4
4,1,1,0.9,1,4
4,1,1,1,1,4
4,1,1,1.1,1,4
4,1,1,1.2,1,4
4,1,1,1.3,1,4
4,1,1,1.4,1,4
4,1,1,1.5,1,4
5,0,0,0,1,5
5,0,0,0,1,5
5,0,0,0,1,5
5,0,0,0,1,5
5,1,1,1.5,1,5
5,1,1,1.4,1,5
5,1,1,1.3,1,5
5,1,1,1.2,1,5
5,1,1,1.1,1,5
5,1,1,1,1,5
5,1,1,0.9,1,5
5,1,1,0.8,1,5
5,1,1,0.7,1,5
5,1,1,0.6,1,5
5,1,1,0.5,1,5
6,0,0,0,1,6
6,0,0,0,1,6
6,0,0,0,1,6
6,0,0,0,1,6
6,1,1,0.5,1,6
6,1,1,0.6,1,6
6,1,1,0.7,1,6
6,1,1,0.8,1,6
6,1,1,0.9,1,6
6,1,1,1,1,6
6,1,1,1.1,1,6
6,1,1,1.2,1,6
6,1,1,1.3,1,6
6,1,1,1.4,1,6
6,1,1,1.5,1,6
